state,year,population,incumbent,incumbent,spending,spending,votes,votes,winner,winner,name,name
,,,DEM,REP,DEM,REP,DEM,REP,DEM,REP,DEM,REP
SC,2016,4957968.0,0.0,1.0,80472.1,6194855.0,719412.0,1241609.0,0.0,1.0,"Dixon, Thomas","Scott, Tim"
SD,2002,760020.0,1.0,0.0,5605655.0,5514226.0,167481.0,166957.0,1.0,0.0,"Johnson, Tim","Thune, John"
SD,2008,799124.0,1.0,0.0,4473960.0,906630.0,237889.0,142784.0,1.0,0.0,"Johnson, Tim","Dykstra, Joel"
SD,2014,849129.0,0.0,0.0,2448105.0,5028693.0,82456.0,140741.0,0.0,1.0,"Weiland, Rick ","Rounds, Mike "
SD,2016,862996.0,0.0,1.0,70500.0,5170324.0,104140.0,265516.0,0.0,1.0,"Williams, Jay","Thune, John R."
TN,2002,5795918.0,0.0,0.0,2838011.0,6256974.0,728295.0,891420.0,0.0,1.0,"Clement, Bob","Alexander, Lamar"
TN,2006,6088766.0,0.0,0.0,14306467.92,18666543.0,879989.0,929911.0,0.0,1.0,"Ford, Harold, Jr.","Corker, Bob"
TN,2008,6247411.0,0.0,1.0,831001.0,5791640.0,776406.0,1579477.0,0.0,1.0,"Tuke, Robert D.","Alexander, Lamar"
TN,2012,6453898.0,0.0,1.0,43355.0,9994587.0,706118.0,1506443.0,0.0,1.0,"Clayton, Mark E.","Corker, Bob"
TN,2014,6541223.0,0.0,1.0,1974763.0,7053737.0,437848.0,850092.0,0.0,1.0,"Ball, Gordon","Alexander, Lamar"
TN,2018,6771631.0,0.0,0.0,19621771.52,14634619.97,985450.0,1227483.0,0.0,1.0,"Bredesen, Phil","Blackburn, Marsha"
TX,2002,21690325.0,0.0,0.0,9517216.0,9798366.0,1955758.0,2496243.0,0.0,1.0,"Kirk, Ron","Cornyn, John"
TX,2006,23359580.0,0.0,1.0,1490632.0,6378589.0,1555202.0,2661789.0,0.0,1.0,"Radnofsky, Barbara Ann","Hutchison, Kay Bailey"
TX,2008,24309039.0,0.0,1.0,4166286.0,13727473.0,3389365.0,4337469.0,0.0,1.0,"Noriega, Richard J. (Rick)","Cornyn, John"
TX,2012,26084481.0,0.0,0.0,683957.0,15098279.0,3194927.0,4440137.0,0.0,1.0,"Sadler, Paul","Cruz, Ted"
TX,2014,26964333.0,0.0,1.0,10274862.0,11405135.0,1597387.0,2861531.0,0.0,1.0,"Alameel, David M.","Cornyn, John"
TX,2018,28628666.0,0.0,1.0,80344836.34,35409076.68,4045632.0,4260553.0,0.0,1.0,"O'Rourke, Beto","Cruz, Ted"
UT,2006,2525507.0,0.0,1.0,256050.0,4880281.0,177459.0,356238.0,0.0,1.0,"Ashdown, Pete","Hatch, Orrin G."
UT,2010,2775332.0,0.0,0.0,306522.0,1849329.0,207685.0,390179.0,0.0,1.0,"Granato, Sam F.","Lee, Mike"
UT,2012,2853375.0,0.0,1.0,421086.0,8913006.0,301873.0,657608.0,0.0,1.0,"Howell, Scott","Hatch, Orrin G."
UT,2016,3041868.0,0.0,1.0,77436.0,3981888.49,301860.0,760241.0,0.0,1.0,"Snow, Misty K.","Lee, Mike"
UT,2018,3153550.0,0.0,0.0,960796.1,5552040.26,328541.0,665215.0,0.0,1.0,"Wilson, Jenny","Romney, Mitt"
VA,2002,7286873.0,0.0,1.0,62406.0,2618634.0,145102.0,1229894.0,0.0,1.0,"Spannaus, Nancy B.","Warner, John W."
VA,2006,7673725.0,0.0,1.0,8629224.0,14994264.0,1175606.0,1166277.0,1.0,0.0,"Webb, James H. ""Jim,"" Jr.","Allen, George F."
VA,2008,7833496.0,0.0,0.0,13663049.0,2437715.0,2369327.0,1228830.0,1.0,0.0,"Warner, Mark R.","Gilmore, Jim"
VA,2012,8185080.0,0.0,0.0,18045722.0,14352593.0,2010067.0,1785542.0,1.0,0.0,"Kaine, Timothy M.","Allen, George F."
VA,2014,8310993.0,1.0,0.0,13036212.61,7894669.0,1073667.0,1055940.0,1.0,0.0,"Warner, Mark R.","Gillespie, Ed W."
VA,2018,8501286.0,1.0,0.0,16943971.83,2814961.24,1910370.0,1374313.0,1.0,0.0,"Kaine, Timothy M.","Stewart, Corey A."
VT,2010,625879.0,1.0,0.0,3802650.0,232919.0,154825.0,72699.0,1.0,0.0,"Leahy, Patrick","Britton, Len"
VT,2016,623657.0,1.0,0.0,3930892.11,127633.0,201399.0,103637.0,1.0,0.0,"Leahy, Patrick","Milne, Scott"
WA,2006,6370753.0,1.0,0.0,13725773.0,10853255.0,1184659.0,832106.0,1.0,0.0,"Cantwell, Maria ","McGavick, Mike"
WA,2010,6742830.0,1.0,0.0,12762491.0,9671378.0,1314930.0,1196164.0,1.0,0.0,"Murray, Patty","Rossi, Dino"
WA,2012,6897058.0,1.0,0.0,9423369.0,1037428.0,1855493.0,1213924.0,1.0,0.0,"Cantwell, Maria","Baumgartner, Michael"
WA,2016,7294771.0,1.0,0.0,10176110.19,445369.0,1913979.0,1329338.0,1.0,0.0,"Murray, Patty ","Vance, Chris "
WA,2018,7523869.0,1.0,0.0,9399420.74,1933255.94,1803364.0,1282804.0,1.0,0.0,"Cantwell, Maria","Hutchison, Susan"
WI,2006,5577655.0,1.0,0.0,6438431.0,175772.0,1439214.0,630299.0,1.0,0.0,"Kohl, Herb","Lorge, Robert Gerald "
WI,2010,5690475.0,1.0,0.0,13947563.0,15509297.0,1020958.0,1125999.0,0.0,1.0,"Feingold, Russ","Johnson, Ron"
WI,2012,5719960.0,0.0,0.0,15089725.69,9835823.0,1547104.0,1380126.0,1.0,0.0,"Baldwin, Tammy","Thompson, Tommy G."
WI,2016,5772628.0,0.0,1.0,24857171.0,17683385.71,1380335.0,1479471.0,0.0,1.0,"Feingold, Russ","Johnson, Ron "
WI,2018,5807406.0,1.0,0.0,27758852.65,5852699.03,1472914.0,1184885.0,1.0,0.0,"Baldwin, Tammy ","Vukmir, Leah "
WV,2002,1805414.0,1.0,0.0,2637717.0,136935.0,275281.0,160902.0,1.0,0.0,"Rockefeller, Jay","Wolfe, Jay"
WV,2006,1827912.0,1.0,0.0,5114217.0,3163848.0,296276.0,155043.0,1.0,0.0,"Byrd, Robert C.","Raese, John R."
WV,2008,1840310.0,1.0,0.0,5189461.0,123862.0,447560.0,254629.0,1.0,0.0,"Rockefeller, Jay","Wolfe, Jay"
WV,2012,1856872.0,1.0,0.0,5071896.0,1607740.0,399898.0,240787.0,1.0,0.0,"Manchin, Joe, III","Raese, John R."
WV,2014,1849489.0,0.0,0.0,3677175.0,7860642.0,156360.0,281820.0,0.0,1.0,"Tennant, Natalie ","Capito, Shelly Moore"
WV,2018,1804291.0,1.0,0.0,8420591.86,6200876.51,290510.0,271113.0,1.0,0.0,"Manchin, Joseph, III","Morrisey, Patrick"
WY,2002,500017.0,0.0,1.0,8488.0,1180726.0,49570.0,133710.0,0.0,1.0,"Corcoran, Joyce Jansa","Enzi, Michael B."
WY,2006,522667.0,0.0,1.0,141899.0,1622792.0,57671.0,135174.0,0.0,1.0,"Groutage, Dale","Thomas, Craig"
WY,2012,576305.0,0.0,1.0,0.0,4012162.0,53019.0,185250.0,0.0,1.0,"Chesnut, Tim","Barrasso, John"
WY,2014,582531.0,0.0,1.0,91678.0,3313274.0,29377.0,121554.0,0.0,1.0,"Hardy, Charlie","Enzi, Mike"
WY,2018,577601.0,0.0,1.0,910722.7,5667279.48,61227.0,136210.0,0.0,1.0,"Trauner, Gary ","Barrasso, John "
